dps-bantam	dme-bantam
dps-bantam	dme_179
dps-let-7	dme-let-7
dps-mir-1	dme-mir-1
dps-mir-10	dme-mir-10
dps-mir-10	dme-mir-993
dps-mir-100	dme-mir-100
dps-mir-100	dme_251
dps-mir-1000	dme-mir-1000
dps-mir-1006	dme-mir-1006
dps-mir-1006	dme-mir-998
dps-mir-1010	dme-mir-1010
dps-mir-11	dme-mir-11
dps-mir-12	dme-mir-12
dps-mir-124	dme-mir-124
dps-mir-125	dme-mir-125
dps-mir-133	dme-mir-133
dps-mir-137	dme-mir-137
dps-mir-13a	dme-mir-13a
dps-mir-13a	dme-mir-13b-1
dps-mir-13a	dme-mir-13b-2
dps-mir-13a	dme-mir-2b-2
dps-mir-13a	dme-mir-2a-1
dps-mir-13a	dme-mir-2a-2
dps-mir-13a	dme-mir-2c
dps-mir-13a	dme-mir-2b-1
dps-mir-13b-1	dme-mir-13b-1
dps-mir-13b-1	dme-mir-13b-2
dps-mir-13b-1	dme-mir-13b-2
dps-mir-13b-1	dme-mir-13a
dps-mir-13b-1	dme-mir-2c
dps-mir-13b-1	dme-mir-2b-2
dps-mir-13b-1	dme-mir-2b-1
dps-mir-13b-1	dme-mir-2a-1
dps-mir-13b-1	dme-mir-2a-2
dps-mir-13b-2	dme-mir-13b-2
dps-mir-13b-2	dme-mir-13b-2
dps-mir-13b-2	dme-mir-13b-2
dps-mir-13b-2	dme-mir-13b-1
dps-mir-13b-2	dme-mir-13b-1
dps-mir-13b-2	dme-mir-13a
dps-mir-13b-2	dme-mir-2b-2
dps-mir-13b-2	dme-mir-2b-1
dps-mir-13b-2	dme-mir-2a-1
dps-mir-13b-2	dme-mir-2a-2
dps-mir-14	dme-mir-14
dps-mir-184	dme-mir-184
dps-mir-190	dme-mir-190
dps-mir-193	dme-mir-193
dps-mir-210a	dme-mir-210
dps-mir-210a	dme_401
dps-mir-219	dme-mir-219
dps-mir-219	dme-mir-2282
dps-mir-2502	dme_396
dps-mir-2506	dme-mir-9388
dps-mir-2506	dme-mir-9388
dps-mir-2506	dme-mir-9388
dps-mir-2507b	dme-mir-1012
dps-mir-2507b	dme-mir-312
dps-mir-252	dme-mir-252
dps-mir-2521	dme-mir-984
dps-mir-2525	dme_280
dps-mir-2535	dme-mir-2535b
dps-mir-2538	dme-mir-4946
dps-mir-2558-1	dme-mir-2279
dps-mir-2558-2	dme-mir-2279
dps-mir-263a	dme-mir-263a
dps-mir-263b	dme-mir-263b
dps-mir-274	dme-mir-274
dps-mir-275	dme-mir-275
dps-mir-276a	dme-mir-276a
dps-mir-276a	dme-mir-276b
dps-mir-276b	dme-mir-276b
dps-mir-276b	dme-mir-276a
dps-mir-276b	dme_432
dps-mir-277	dme-mir-277
dps-mir-278	dme-mir-278
dps-mir-279	dme-mir-279
dps-mir-281-1	dme-mir-281-1
dps-mir-281-1	dme-mir-281-2
dps-mir-281-2	dme-mir-281-2
dps-mir-281-2	dme-mir-281-1
dps-mir-282	dme-mir-282
dps-mir-283	dme-mir-283
dps-mir-283	dme-mir-963
dps-mir-284	dme-mir-284
dps-mir-285	dme-mir-285
dps-mir-286	dme-mir-286
dps-mir-287	dme-mir-87
dps-mir-2a-1	dme-mir-2a-1
dps-mir-2a-1	dme-mir-2a-2
dps-mir-2a-1	dme-mir-2a-2
dps-mir-2a-1	dme-mir-2b-2
dps-mir-2a-1	dme-mir-2b-1
dps-mir-2a-1	dme-mir-2c
dps-mir-2a-1	dme-mir-13a
dps-mir-2a-1	dme-mir-13b-2
dps-mir-2a-1	dme-mir-13b-1
dps-mir-2a-2	dme-mir-2a-2
dps-mir-2a-2	dme-mir-2a-1
dps-mir-2a-2	dme-mir-2a-1
dps-mir-2a-2	dme-mir-2b-2
dps-mir-2a-2	dme-mir-2b-2
dps-mir-2a-2	dme-mir-2b-1
dps-mir-2a-2	dme-mir-2c
dps-mir-2a-2	dme-mir-13a
dps-mir-2a-2	dme-mir-13b-2
dps-mir-2a-2	dme-mir-13b-1
